VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y
5308, 1248, -0.08039,  0.00376,  0.2862, -0.28125,  0.79736,  0.53369,  0.00, -0.94531, -0.13379, -0.29785,  1.00, -0.06903,  0.07788
5309, 1249, -0.08114, -1.57095E-17,  0.28747, -0.32324,  0.35938,  0.87549,  0.00, -0.94629, -0.1192, -0.30054,  1.00, -0.06805,  0.08282
5310, 1248, -0.08039,  0.00376,  0.2862, -0.28125,  0.79736,  0.53369,  0.00, -0.94531, -0.13379, -0.29785,  1.00, -0.06903,  0.07788
5311, 1250, -0.10072, -1.57095E-17,  0.28393, -0.04608,  0.53223,  0.84521,  0.00, -0.98877,  0.09656, -0.11469,  1.00, -0.04489,  0.08289
5312, 1249, -0.08114, -1.57095E-17,  0.28747, -0.32324,  0.35938,  0.87549,  0.00, -0.94629, -0.1192, -0.30054,  1.00, -0.06805,  0.08282
5313, 1248, -0.08039,  0.00376,  0.2862, -0.28125,  0.79736,  0.53369,  0.00, -0.94531, -0.13379, -0.29785,  1.00, -0.06903,  0.07788
5314, 335, -0.0621,  0.00608,  0.29521, -0.375,  0.81592,  0.44019,  0.00, -0.90723, -0.22559, -0.35498,  1.00, -0.09308,  0.08167
5315, 1251, -0.05063,  0.01147,  0.26736, -0.20142,  0.97119, -0.1261,  0.00, -0.93359, -0.22937, -0.27588,  1.00, -0.0968,  0.04602
5316, 1251, -0.05063,  0.01147,  0.26736, -0.20142,  0.97119, -0.1261,  0.00, -0.93359, -0.22937, -0.27588,  1.00, -0.0968,  0.04602
5317, 335, -0.0621,  0.00608,  0.29521, -0.375,  0.81592,  0.44019,  0.00, -0.90723, -0.22559, -0.35498,  1.00, -0.09308,  0.08167
5318, 316, -0.03732,  0.01242,  0.27935, -0.18286,  0.97705,  0.10797,  0.00, -0.94092, -0.14197, -0.30811,  1.00, -0.1156,  0.0549
5319, 1251, -0.05063,  0.01147,  0.26736, -0.20142,  0.97119, -0.1261,  0.00, -0.93359, -0.22937, -0.27588,  1.00, -0.0968,  0.04602
5320, 316, -0.03732,  0.01242,  0.27935, -0.18286,  0.97705,  0.10797,  0.00, -0.94092, -0.14197, -0.30811,  1.00, -0.1156,  0.0549
5321, 1252, -0.03045,  0.01551,  0.26527, -0.22131,  0.95117, -0.21594,  0.00, -0.92676, -0.27417, -0.25757,  1.00, -0.11932,  0.03696
5322, 1250, -0.10072, -1.57095E-17,  0.28393, -0.04608,  0.53223,  0.84521,  0.00, -0.98877,  0.09656, -0.11469,  1.00, -0.04489,  0.08289
5323, 1248, -0.08039,  0.00376,  0.2862, -0.28125,  0.79736,  0.53369,  0.00, -0.94531, -0.13379, -0.29785,  1.00, -0.06903,  0.07788
5324, 1253, -0.10157,  0.00178,  0.28274, -0.04196,  0.89209,  0.4502,  0.00, -0.9873,  0.03238, -0.15613,  1.00, -0.04346,  0.08038
5325, 1250, -0.10072, -1.57095E-17,  0.28393, -0.04608,  0.53223,  0.84521,  0.00, -0.98877,  0.09656, -0.11469,  1.00, -0.04489,  0.08289
5326, 1253, -0.10157,  0.00178,  0.28274, -0.04196,  0.89209,  0.4502,  0.00, -0.9873,  0.03238, -0.15613,  1.00, -0.04346,  0.08038
5327, 1254, -0.11835, -1.57095E-17,  0.28777, -0.12262,  0.99023,  0.06311,  0.00, -0.97754, -0.10968, -0.17871,  1.00, -0.0255,  0.09039
5328, 1253, -0.10157,  0.00178,  0.28274, -0.04196,  0.89209,  0.4502,  0.00, -0.9873,  0.03238, -0.15613,  1.00, -0.04346,  0.08038
5329, 1248, -0.08039,  0.00376,  0.2862, -0.28125,  0.79736,  0.53369,  0.00, -0.94531, -0.13379, -0.29785,  1.00, -0.06903,  0.07788
5330, 1255, -0.09448,  0.00296,  0.27527, -0.17041,  0.98242, -0.07397,  0.00, -0.95215, -0.18347, -0.2439,  1.00, -0.04968,  0.06995
5331, 1254, -0.11835, -1.57095E-17,  0.28777, -0.12262,  0.99023,  0.06311,  0.00, -0.97754, -0.10968, -0.17871,  1.00, -0.0255,  0.09039
5332, 1253, -0.10157,  0.00178,  0.28274, -0.04196,  0.89209,  0.4502,  0.00, -0.9873,  0.03238, -0.15613,  1.00, -0.04346,  0.08038
